source_group,listing_url,product_url,product_title,brand_guess,species,format,source_tier,source_type,market,status,notes
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/cavalier-king-charles-adult-3968,Royal Canin Cavalier King Charles Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Cavalier King Charles Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/pug-adult-3985,Royal Canin Pug Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Pug; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-adult-3051,Royal Canin Yorkshire Terrier Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/maltese-adult-3995,Royal Canin Maltese Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Maltese; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/cocker-adult-3969,Royal Canin Cocker Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=American Cocker Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/dalmatian-adult-2598,Royal Canin Dalmatian Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Dalmatian; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/shih-tzu-adult-2200,Royal Canin Shih Tzu Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Shih Tzu; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/rottweiler-puppy-3987,Royal Canin Rottweiler Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Rottweiler; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/rottweiler-adult-3971,Royal Canin Rottweiler Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Rottweiler; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/chihuahua-adult-2210,Royal Canin Chihuahua Adult,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Chihuahua; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal_canin_gr_dog_dry_retail,https://www.royalcanin.com/gr/dogs/products/retail-products?digital_sub_category=dry_food,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-puppy-3972,Royal Canin Yorkshire Terrier Puppy,Royal Canin,dog,dry,official,official_product_page,GR,candidate,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
