formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
royal-canin-labrador-retriever-puppy-dog-dry-gr-official,Royal Canin,Labrador Retriever Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/labrador-retriever-puppy-2491,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Labrador Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-golden-retriever-puppy-dog-dry-gr-official,Royal Canin,Golden Retriever Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/golden-retriever-puppy-3979,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Golden Retriever; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-cavalier-king-charles-adult-dog-dry-gr-official,Royal Canin,Cavalier King Charles Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/cavalier-king-charles-adult-3968,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Cavalier King Charles Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-pug-adult-dog-dry-gr-official,Royal Canin,Pug Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/pug-adult-3985,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Pug; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-yorkshire-terrier-adult-dog-dry-gr-official,Royal Canin,Yorkshire Terrier Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/yorkshire-terrier-adult-3051,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|omega3_percent|omega6_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Yorkshire Terrier; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-maltese-adult-dog-dry-gr-official,Royal Canin,Maltese Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/maltese-adult-3995,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Maltese; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-cocker-adult-dog-dry-gr-official,Royal Canin,Cocker Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/cocker-adult-3969,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=American Cocker Spaniel; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-dalmatian-adult-dog-dry-gr-official,Royal Canin,Dalmatian Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/dalmatian-adult-2598,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Dalmatian; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-shih-tzu-adult-dog-dry-gr-official,Royal Canin,Shih Tzu Adult,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/shih-tzu-adult-2200,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Shih Tzu; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
royal-canin-rottweiler-puppy-dog-dry-gr-official,Royal Canin,Rottweiler Puppy,dog,candidate,https://www.royalcanin.com/gr/dogs/products/retail-products/rottweiler-puppy-3987,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=GR; locale=el; basis=as-fed; source_tier=official; source_kind=royal_canin_algolia_plus_product_page; category_batch=true; human_qa_required_before_recommendation=true; official_structured_product_resource=true; breed_target=Rottweiler; calcium_phosphorus_not_consistently_visible_on_gr_retail_pages=true
