intake_id,received_at,brand,formula_name_guess,species,market,locale,source_type,source_priority,evidence_kind,evidence_path_or_url,storage_bucket,storage_path,has_front_pack,has_barcode,has_ingredients,has_analysis,has_calories,has_feeding_guide,has_pack_weight,extraction_status,assigned_to,linked_formula_key,review_priority,notes
photos-royal-maxi-adult-ageing-8,2026-05-30,Royal Canin,royal maxi adult ageing 8+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal maxi adult ageing 8+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-maxi-adult-light-weight-care,2026-05-30,Royal Canin,royal maxi adult light weight care,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal maxi adult light weight care,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 9 image files. Verify panels before extraction.
photos-royal-maxi-adult-sterilised,2026-05-30,Royal Canin,royal maxi adult sterilised,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal maxi adult sterilised,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-medium-adult,2026-05-30,Royal Canin,royal medium adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal medium adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-medium-adult-ageing-7,2026-05-30,Royal Canin,royal medium adult ageing 7+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal medium adult ageing 7+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-medium-adult-sterilised,2026-05-30,Royal Canin,royal medium adult sterilised,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal medium adult sterilised,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-mini-adult,2026-05-30,Royal Canin,royal mini adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-mini-adult-ageing-12,2026-05-30,Royal Canin,royal mini adult ageing 12+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult ageing 12+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-mini-adult-ageing-8,2026-05-30,Royal Canin,royal mini adult ageing 8+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult ageing 8+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-mini-adult-coat-care,2026-05-30,Royal Canin,royal mini adult coat care,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult coat care,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-mini-adult-digestive-care,2026-05-30,Royal Canin,royal mini adult digestive care,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult digestive care,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-mini-adult-exigent,2026-05-30,Royal Canin,royal mini adult exigent,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult exigent,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-mini-adult-light-weight-care,2026-05-30,Royal Canin,royal mini adult light weight care,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult light weight care,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 9 image files. Verify panels before extraction.
photos-royal-mini-adult-sterilised,2026-05-30,Royal Canin,royal mini adult sterilised,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal mini adult sterilised,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
photos-royal-miniature-schnauzer-adult,2026-05-30,Royal Canin,royal miniature schnauzer adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal miniature schnauzer adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-persian-adult-cat,2026-05-30,Royal Canin,royal persian adult cat,cat,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal persian adult cat,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 6 image files. Verify panels before extraction.
photos-royal-shih-tzu-adult,2026-05-30,Royal Canin,royal shih tzu adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal shih tzu adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-west-highland-white-terrier-adult,2026-05-30,Royal Canin,royal west highland white terrier adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal west highland white terrier adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-xsmall-adult,2026-05-30,Royal Canin,royal xsmall adult,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal xsmall adult,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-xsmall-adult-ageing-12,2026-05-30,Royal Canin,royal xsmall adult ageing 12+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal xsmall adult ageing 12+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-xsmall-adult-ageing-8,2026-05-30,Royal Canin,royal xsmall adult ageing 8+,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal xsmall adult ageing 8+,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 7 image files. Verify panels before extraction.
photos-royal-yorkshire-terrier-puppy,2026-05-30,Royal Canin,royal yorkshire terrier puppy,dog,GR,el-GR,pack_photo,manual_photo,photo_set,C:\Users\NIOstb\Desktop\photo_foods_nutritail\royal yorkshire terrier puppy,,,yes,yes,yes,yes,unknown,yes,unknown,ready_for_extraction,,,high,Auto-registered local photo set with 8 image files. Verify panels before extraction.
doc-sam-s-field-οκ,2026-05-30,Sam's Field,Sam's Field.οκ,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Sam's Field.οκ.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-schesir-gheda-marketplace,2026-05-30,Schesir/Gheda,Schesir - Gheda Marketplace,,GR,el-GR,authorized_retailer,retailer,spreadsheet,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Schesir - Gheda Marketplace.ods,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-schesir-dry,2026-05-30,Schesir/Gheda,Schesir Dry,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Schesir Dry.odt,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-unica-classe,2026-05-30,Unica,Unica Classe,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Unica Classe.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
doc-unica-natura,2026-05-30,Unica,Unica Natura,,GR,el-GR,manufacturer_response,unknown,mixed,C:\Users\NIOstb\Desktop\photo_foods_nutritail\Unica Natura.docx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,new,,,medium,Auto-registered local evidence document. Review source quality before extraction.
