source_sheet,source_code,source_description,formula_name,brand,species,format,life_stage,size_class,category_tags,quantity,value,revenue_share_percent,pareto_percent,formula_key_guess,has_eshop_title,has_eshop_detail,review_priority,recommended_action,source_document
Sheet1,018003,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ACANA SENIOR 11.4kg,Acana Senior Dog,ACANA,dog,dry,senior,all,ULTRA PREMIUM;MAINTENANCE;GRAIN FREE;HOLISTIC;FIRST INGREDIENT;BIOLOGICALLY APPROPRIATE,9,514.01,0.0019,0.6708,acana-acana-senior-dog-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050116,ΞΗΡΑ ΤΡΟΦΗ.Γ Chat & Chat Expert adult Beef,Chat & Chat Expert adult Beef,Chat,cat,dry,adult,,,248.2,402.49,0.0025,0.6722,chat-chat-chat-expert-adult-beef-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,011522,ΚΟΝΣΕΡΒΑ ΣΚΥΛΟΥ DR. MAX POULTRY 400gr,Dr. Max Adult Dog Πατέ με Πουλερικά,Dr. Max,dog,wet,adult,all,SUPER PREMIUM;MAINTENANCE,436,484.66,0.0018,0.6819,dr-max-dr-max-adult-dog-πατε-με-πουλερικα-dog-wet-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,010945,ROYAL CAT POUCH VHN URINARY MORSELS IN GRAVY CHICKEN 85G,ROYAL CAT POUCH VHN URINARY MORSELS IN GRAVY CHICKEN,Royal Canin,cat,wet,,,,414,425.06,0.0047,0.6923,royal-canin-royal-cat-pouch-vhn-urinary-morsels-in-gravy-chicken-cat-wet-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018396,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ Sam's Field Light & Senior Lamb & Rice13kg,Sam's Field Light & Senior Dog με Αρνί & Ρύζι,Sam's Field,dog,dry,senior,all,SUPER PREMIUM;LOW FAT/LIGHT;STERILITY;HYPOALLERGENIC,12,467.42,0.0017,0.6925,sam-s-field-sam-s-field-light-senior-dog-με-αρνι-ρυζι-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018531,ΣΑΛΑΜΑΚΙ ΓΑΤΑΣ DOCA 200gr,ΣΑΛΑΜΑΚΙ ΓΑΤΑΣ DOCA,σαλαμακι,cat,wet,,,,162,89.08,0.0014,0.7001,σαλαμακι-σαλαμακι-γατας-doca-cat-wet-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,016996,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL YORKSHIRE JUNIOR 1.5kg,Royal Canin Yorkshire Junior,Royal Canin,dog,dry,puppy,small,SUPER PREMIUM;GROWTH / ΑΝΑΠΤΥΞΗΣ;SCIENCE;BREED,31,401.95,0.0015,0.7134,royal-canin-royal-canin-yorkshire-junior-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017298,ΞΗΡΑ ΤΡΟΦΗ.Γ ROYAL GASTRO INTESTINAL CAT 400gr,ROYAL GASTRO INTESTINAL CAT,Royal Canin,cat,dry,,,,74,398.81,0.0044,0.7152,royal-canin-royal-gastro-intestinal-cat-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017465,"ΞΗΡΑ ΤΡΟΦΗ.ΣΚ HILLS SP Adult Small & Mini Sens.& Skin Chicken 1,5kg",Hill's Sp Small & Mini Adult Sensitive Skin με Κοτόπουλο,Hill's,dog,dry,adult,small,SUPER PREMIUM;MAINTENANCE;SCIENCE,28,389.76,0.0015,0.7163,hill-s-hill-s-sp-small-mini-adult-sensitive-skin-με-κοτοπουλο-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,016229,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ TONUS SENIOR ADULT Αρνί 14kg,Tonus SENIOR Dog με Αρνί,Purina,dog,dry,senior,medium,PREMIUM;MAINTENANCE,14,382.86,0.0014,0.7278,purina-tonus-senior-dog-με-αρνι-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017281,ΞΗΡΑ ΤΡΟΦΗ.Γ FIBRE RESPONSE CAT 2K,FIBRE RESPONSE CAT 2K,Fibre,cat,dry,,,,15,386.05,0.0043,0.7282,fibre-fibre-response-cat-2k-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,011520,ΚΟΝΣΕΡΒΑ ΣΚΥΛΟΥ DR. MAX BEEF 400gr,Dr. Max Adult Dog Πατέ με Μοσχάρι,Dr. Max,dog,wet,adult,all,SUPER PREMIUM;MAINTENANCE;GRAIN FREE,333,358.71,0.0013,0.7401,dr-max-dr-max-adult-dog-πατε-με-μοσχαρι-dog-wet-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018385,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ Sam's Field Puppy Chicken 13kg,Sam's Field Puppy με Κοτόπουλο,Sam's Field,dog,dry,puppy,all,SUPER PREMIUM;GROWTH / ΑΝΑΠΤΥΞΗΣ;LOW GRAIN,9,341.02,0.0013,0.7491,sam-s-field-sam-s-field-puppy-με-κοτοπουλο-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017080,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ VHN SENSITIVITY CONTROL DOG 1.5K,VHN SENSITIVITY CONTROL DOG 1.5K,Vhn,dog,dry,,,,24,361.22,0.004,0.7571,vhn-vhn-sensitivity-control-dog-1-5k-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,014768,BARF Beef Dinner Patties 1kg,Barf Adult Dog Μπιφτέκια με Μοσχάρι,Nature's Food,dog,raw,adult,all,SUPER PREMIUM;MAINTENANCE;GRAIN FREE;GLUTEN FREE;BIOLOGICALLY APPROPRIATE,92,330.11,0.0012,0.7654,nature-s-food-barf-adult-dog-μπιφτεκια-με-μοσχαρι-dog-raw-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017294,ΞΗΡΑ ΤΡΟΦΗ.Γ VHN URINARY S/O CAT 7K,VHN URINARY S/O CAT 7K,Vhn,cat,dry,,,,5,328.75,0.0037,0.7685,vhn-vhn-urinary-s-o-cat-7k-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017076,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ ROYAL VD DOG CARDIAC 2K,ROYAL VD DOG CARDIAC 2K,Royal Canin,dog,dry,,,,17,327.6,0.0037,0.7721,royal-canin-royal-vd-dog-cardiac-2k-dog-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,017291,ΞΗΡΑ ΤΡΟΦΗ.Γ HEPATIC CAT 2K,HEPATIC CAT 2K,Hepatic,cat,dry,,,,13,317.04,0.0035,0.7792,hepatic-hepatic-cat-2k-cat-dry-gr-pareto,no,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018844,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ AMBROSIA ADULT LAMB & SALMON 12kg,Ambrosia Adult Dog με Αρνί & Σολομό,Ambrosia,dog,dry,adult,all,ULTRA PREMIUM;MAINTENANCE;GRAIN FREE;HOLISTIC;HYPOALLERGENIC,6,299.16,0.0011,0.7795,ambrosia-ambrosia-adult-dog-με-αρνι-σολομο-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018816,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ AMBROSIA ADULT CHICKEN & VEGIES 12kg,Ambrosia Adult Dog με Κοτόπουλο & Λαχανικά,Ambrosia,dog,dry,adult,all,ULTRA PREMIUM;MAINTENANCE;HOLISTIC;GRAIN FREE;HYPOALLERGENIC,7,296.79,0.0011,0.7828,ambrosia-ambrosia-adult-dog-με-κοτοπουλο-λαχανικα-dog-dry-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,011521,ΚΟΝΣΕΡΒΑ ΣΚΥΛΟΥ DR. MAX LAMB 400gr,Dr. Max Adult Dog Πατέ με Αρνί,Dr. Max,dog,wet,adult,all,SUPER PREMIUM;MAINTENANCE;GRAIN FREE,256,282.8,0.0011,0.7935,dr-max-dr-max-adult-dog-πατε-με-αρνι-dog-wet-gr-pareto,yes,no,high_content_gap,"Fill missing e-shop/product content first, then attach official nutrition source before Food V2 import.",C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050062,ΞΗΡΑ ΤΡΟΦΗ ΤΡΟΦΗ ΣΚΥΛΟΥ GEMON DOG LIGHT CHICKEN,Gemon Light Adult με Κοτόπουλο & Ρύζι,Gemon,dog,dry,adult,medium,HIGH PREMIUM;LOW FAT/LIGHT,2421.77,5150.67,0.0192,0.1,gemon-gemon-light-adult-με-κοτοπουλο-ρυζι-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050089,ΞΗΡΑ ΤΡΟΦΗ ΤΡΟΦΗ ΓΑΤΑΣ GOLDEN,Viozois Golden Cats & Kittens με Κοτόπουλο & Λαχανικά,Viozois,cat,dry,kitten,,,10688.65,11678.3,0.0738,0.1118,viozois-viozois-golden-cats-kittens-με-κοτοπουλο-λαχανικα-cat-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050092,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ DAILY HABITS HP Angel Rescue Beef,Daily Habits Angel Rescue με Μοσχάρι,Movex,dog,dry,adult,medium,HIGH PREMIUM;STERILITY;LOW FAT/LIGHT;MONOPROTEIN,1532.41,3290.5,0.0123,0.1257,movex-daily-habits-angel-rescue-με-μοσχαρι-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050022,ΞΗΡΑ.ΣΚ DOG & DOG PUPPY ΚΟΤΟΠΟΥΛΟ,Dog & Dog Puppy All Breed με Κοτόπουλο,Gheda,dog,dry,puppy,,,1978.03,3095,0.0115,0.1373,gheda-dog-dog-puppy-all-breed-με-κοτοπουλο-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,018318,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ DOG 4 20KG,Viozois Dog 4 Adult dog με Κοτόπουλο,Viozois,dog,dry,adult,all,STANDARD;MAINTENANCE,161,3064.36,0.0114,0.1487,viozois-viozois-dog-4-adult-dog-με-κοτοπουλο-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050065,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ Gemon Dog Adult mini Salmon & rice,Gemon Adult Mini με Σολομό & Ρύζι,Gemon,dog,dry,adult,small,HIGH PREMIUM;MAINTENANCE,1315.2,2921.71,0.0109,0.1596,gemon-gemon-adult-mini-με-σολομο-ρυζι-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050091,ΞΗΡΑ ΤΡΟΦΗ.ΣΚ DAILY HABITS HP Angel Rescue Chicken,Daily Habits Angel Rescue με Κοτόπουλο,Movex,dog,dry,adult,medium,HIGH PREMIUM;STERILITY;LOW FAT/LIGHT;MONOPROTEIN,1312.6,2789.77,0.0104,0.17,movex-daily-habits-angel-rescue-με-κοτοπουλο-dog-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,050093,ΞΗΡΑ ΤΡΟΦΗ.Γ DAILY HABITS HP Angel Rescue Chicken,Daily Habits Angel Rescue STERILITY Cat με Κοτόπουλο,Daily Habits,cat,dry,,,,2855.44,5931.48,0.0375,0.1873,daily-habits-daily-habits-angel-rescue-sterility-cat-με-κοτοπουλο-cat-dry-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
Sheet1,014759,BARF Simple Bulk Natures Breeders Raw Boost 1kg,Barf Breeder's Raw Boost Simple με Κοτόπουλο,Nature's Food,dog,raw,adult,all,SUPER PREMIUM;MAINTENANCE;GRAIN FREE;GLUTEN FREE;BIOLOGICALLY APPROPRIATE,2043,2588.18,0.0097,0.1898,nature-s-food-barf-breeder-s-raw-boost-simple-με-κοτοπουλο-dog-raw-gr-pareto,yes,yes,high_review,Use as review priority signal only; verify nutrition from official source or label before import.,C:/Users/NIOstb/Desktop/photo_foods_nutritail/Pareto ανα κατηγορία για ESHOP.xlsx
