canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
barking heads|puppy days large breed|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-puppy-days-large-breed-dog-dry-gr-spreadsheet,Barking Heads Puppy Days Large Breed,unknown,,,,,,barking-heads-barking-heads-puppy-days-large-breed-dog-dry-gr-spreadsheet
barking heads|senior golden years chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-senior-golden-years-chicken-dog-dry-gr-spreadsheet,Barking Heads Senior Golden Years με Κοτόπουλο,unknown,,,,,,barking-heads-barking-heads-senior-golden-years-chicken-dog-dry-gr-spreadsheet|barking-heads-barking-heads-senior-golden-years-με-κοτοπουλο-dog-dry-gr-spreadsheet
barking heads|small adult bowl lickin chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-small-adult-bowl-lickin-chicken-dog-dry-gr-spreadsheet,Barking Heads Small Adult Bowl Lickin με Κοτόπουλο,unknown,,,,,,barking-heads-barking-heads-small-adult-bowl-lickin-chicken-dog-dry-gr-spreadsheet|barking-heads-barking-heads-small-adult-bowl-lickin-με-κοτοπουλο-dog-dry-gr-spreadsheet
barking heads|small adult chop lickin lamb|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,barking-heads-barking-heads-small-adult-chop-lickin-lamb-dog-dry-gr-spreadsheet,Barking Heads Small Adult Chop Lickin με Αρνί,unknown,,,,,,barking-heads-barking-heads-small-adult-chop-lickin-lamb-dog-dry-gr-spreadsheet|barking-heads-barking-heads-small-adult-chop-lickin-με-αρνι-dog-dry-gr-spreadsheet
belcando|adult light πουλερικα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,belcando-belcando-adult-light-με-πουλερικα-dog-dry-gr-spreadsheet,Belcando Adult Light με Πουλερικά,unknown,,,,,,belcando-belcando-adult-light-με-πουλερικα-dog-dry-gr-spreadsheet|belcando-belcando-adult-light-dog-dry-gr-spreadsheet
belcando|adult multicroc πουλερικα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,belcando-belcando-adult-multicroc-με-πουλερικα-dog-dry-gr-spreadsheet,Belcando Adult Multicroc με πουλερικά,unknown,,,,,,belcando-belcando-adult-multicroc-με-πουλερικα-dog-dry-gr-spreadsheet|belcando-belcando-adult-multicroc-dog-dry-gr-spreadsheet
belcando|mastercraft adult beef|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,belcando-belcando-mastercraft-adult-με-μοσχαρι-dog-dry-gr-spreadsheet,Belcando Mastercraft Adult με Μοσχάρι,unknown,,,,,,belcando-belcando-mastercraft-adult-με-μοσχαρι-dog-dry-gr-spreadsheet|belcando-belcando-mastercraft-adult-beef-dog-dry-gr-spreadsheet
belcando|puppy gravy πουλερικα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,belcando-belcando-puppy-gravy-με-πουλερικα-dog-dry-gr-spreadsheet,Belcando Puppy Gravy με Πουλερικά,unknown,,,,,,belcando-belcando-puppy-gravy-με-πουλερικα-dog-dry-gr-spreadsheet|belcando-belcando-puppy-gravy-dog-dry-gr-spreadsheet
belcando|senior sensitive πουλερικα|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,belcando-belcando-senior-sensitive-με-πουλερικα-dog-dry-gr-spreadsheet,Belcando Senior Sensitive με Πουλερικά,unknown,,,,,,belcando-belcando-senior-sensitive-με-πουλερικα-dog-dry-gr-spreadsheet|belcando-belcando-senior-sensitive-dog-dry-gr-spreadsheet
black olympus|adult dog lamb and καστανο rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,black-olympus-black-olympus-adult-dog-με-αρνι-καστανο-ρυζι-dog-dry-gr-spreadsheet,Black Olympus Adult Dog με Αρνί & Καστανό Ρύζι,unknown,,,,,,black-olympus-black-olympus-adult-dog-με-αρνι-καστανο-ρυζι-dog-dry-gr-spreadsheet|black-olympus-black-olympus-adult-dog-lamb-rice-dog-dry-gr-spreadsheet
black olympus|large adult chicken and καστανο rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,black-olympus-black-olympus-large-adult-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet,Black Olympus Large Adult με Κοτόπουλο & Καστανό Ρύζι,unknown,,,,,,black-olympus-black-olympus-large-adult-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet|black-olympus-black-olympus-large-adult-chicken-rice-dog-dry-gr-spreadsheet
black olympus|large puppy chicken and καστανο rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,black-olympus-black-olympus-large-puppy-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet,Black Olympus Large Puppy με Κοτόπουλο & Καστανό Ρύζι,unknown,,,,,,black-olympus-black-olympus-large-puppy-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet|black-olympus-black-olympus-large-puppy-chicken-rice-dog-dry-gr-spreadsheet
black olympus|medium adult chicken and καστανο rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,black-olympus-black-olympus-medium-adult-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet,Black Olympus Medium Adult με Κοτόπουλο & Καστανό Ρύζι,unknown,,,,,,black-olympus-black-olympus-medium-adult-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet|black-olympus-black-olympus-medium-adult-chicken-rice-dog-dry-gr-spreadsheet
black olympus|puppy chicken and καστανο rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,black-olympus-black-olympus-puppy-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet,Black Olympus Puppy με Κοτόπουλο & Καστανό Ρύζι,unknown,,,,,,black-olympus-black-olympus-puppy-με-κοτοπουλο-καστανο-ρυζι-dog-dry-gr-spreadsheet|black-olympus-black-olympus-puppy-chicken-rice-dog-dry-gr-spreadsheet
country farms|adult dog chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,country-farms-country-farms-adult-dog-chicken-dog-dry-gr-spreadsheet,Country Farms Adult Dog με Κοτόπουλο,unknown,,,,,,country-farms-country-farms-adult-dog-chicken-dog-dry-gr-spreadsheet|country-farms-country-farms-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet
country farms|adult grain free beef|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,country-farms-country-farms-adult-grain-free-beef-dog-dry-gr-spreadsheet,Country Farms Adult Grain Free με Μοσχάρι,unknown,,,,,,country-farms-country-farms-adult-grain-free-beef-dog-dry-gr-spreadsheet|country-farms-country-farms-adult-grain-free-με-μοσχαρι-dog-dry-gr-spreadsheet
country farms|grain free adult dog chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,country-farms-country-farms-grain-free-adult-dog-chicken-dog-dry-gr-spreadsheet,Country Farms Grain Free Adult Dog με Κοτόπουλο,unknown,,,,,,country-farms-country-farms-grain-free-adult-dog-chicken-dog-dry-gr-spreadsheet|country-farms-country-farms-grain-free-adult-dog-με-κοτοπουλο-dog-dry-gr-spreadsheet
country farms|puppy chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,country-farms-country-farms-puppy-chicken-dog-dry-gr-spreadsheet,Country Farms Puppy με Κοτόπουλο,unknown,,,,,,country-farms-country-farms-puppy-chicken-dog-dry-gr-spreadsheet|country-farms-country-farms-puppy-με-κοτοπουλο-dog-dry-gr-spreadsheet
country farms|puppy grain free chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,country-farms-country-farms-puppy-grain-free-chicken-dog-dry-gr-spreadsheet,Country Farms Puppy Grain Free με Κοτόπουλο,unknown,,,,,,country-farms-country-farms-puppy-grain-free-chicken-dog-dry-gr-spreadsheet|country-farms-country-farms-puppy-grain-free-με-κοτοπουλο-dog-dry-gr-spreadsheet
dog and dog|puppy all breed chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dog-dog-dog-dog-puppy-all-breed-με-κοτοπουλο-dog-dry-gr-ods,Dog & Dog Puppy All Breed με Κοτόπουλο,retailer|unknown,,,,,,dog-dog-dog-dog-puppy-all-breed-με-κοτοπουλο-dog-dry-gr-ods
dolina|royal canin medium 20|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dolina-royal-canin-medium-20-dog-dry-gr-spreadsheet,Dolina Royal Canin Medium -20%,unknown,,,,,,dolina-royal-canin-medium-20-dog-dry-gr-spreadsheet
dr clauder s|dr ciauders best choice adult lamb and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dr-clauder-s-dr-ciauders-best-choice-adult-lamb-rice-dog-dry-gr-spreadsheet,Dr. Clauder's Dr CIauders Best Choice Adult με Αρνί & Ρύζι,unknown,,,,,,dr-clauder-s-dr-ciauders-best-choice-adult-lamb-rice-dog-dry-gr-spreadsheet|dr-clauder-s-dr-ciauders-best-choice-adult-με-αρνι-ρυζι-dog-dry-gr-spreadsheet
dr clauder s|dr ciauders best choice adult large chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dr-clauder-s-dr-ciauders-best-choice-adult-large-chicken-dog-dry-gr-spreadsheet,Dr. Clauder's Dr CIauders Best Choice Adult Large με Κοτόπουλο,unknown,,,,,,dr-clauder-s-dr-ciauders-best-choice-adult-large-chicken-dog-dry-gr-spreadsheet|dr-clauder-s-dr-ciauders-best-choice-adult-large-με-κοτοπουλο-dog-dry-gr-spreadsheet
dr clauder s|dr ciauders best choice junior large chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dr-clauder-s-dr-ciauders-best-choice-junior-large-chicken-dog-dry-gr-spreadsheet,Dr. Clauder's Dr CIauders Best Choice Junior Large με Κοτόπουλο,unknown,,,,,,dr-clauder-s-dr-ciauders-best-choice-junior-large-chicken-dog-dry-gr-spreadsheet|dr-clauder-s-dr-ciauders-best-choice-junior-large-με-κοτοπουλο-dog-dry-gr-spreadsheet
dr clauder s|dr ciauders best choice junior small medium chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dr-clauder-s-dr-ciauders-best-choice-junior-small-medium-chicken-dog-dry-gr-spreadsheet,Dr. Clauder's Dr CIauders Best Choice Junior Small/Medium με Κοτόπουλο,unknown,,,,,,dr-clauder-s-dr-ciauders-best-choice-junior-small-medium-chicken-dog-dry-gr-spreadsheet|dr-clauder-s-dr-ciauders-best-choice-junior-small-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet
dr clauder s|dr ciauders best choice adult small medium chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,dr-clauder-s-dr-ciauders-best-choice-adult-small-medium-chicken-dog-dry-gr-spreadsheet,Dr. Clauder's Dr. CIauders Best Choice Adult Small/Medium με Κοτόπουλο,unknown,,,,,,dr-clauder-s-dr-ciauders-best-choice-adult-small-medium-chicken-dog-dry-gr-spreadsheet|dr-clauder-s-dr-ciauders-best-choice-adult-small-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet
equilibrio|adult medium plus δωρο|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,equilibrio-equilibrio-adult-medium-δωρο-dog-dry-gr-spreadsheet,Equilibrio Adult Medium + Δώρο,unknown,,,,,,equilibrio-equilibrio-adult-medium-δωρο-dog-dry-gr-spreadsheet|equilibrio-equilibrio-adult-medium-dog-dry-gr-spreadsheet
flatazor|prestige adult dog plus δωρο|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,flatazor-prestige-adult-dog-δωρο-dog-dry-gr-spreadsheet,Flatazor Prestige Adult Dog + Δώρο,unknown,,,,,,flatazor-prestige-adult-dog-δωρο-dog-dry-gr-spreadsheet|flatazor-prestige-adult-dog-dog-dry-gr-spreadsheet
flatazor|prestige adult sterile and light plus δωρο|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,flatazor-prestige-adult-sterile-light-dog-dry-gr-spreadsheet,Flatazor Prestige Adult Sterile & Light + Δώρο,unknown,,,,,,flatazor-prestige-adult-sterile-light-dog-dry-gr-spreadsheet|flatazor-prestige-adult-sterile-light-δωρο-dog-dry-gr-spreadsheet
flatazor|prestige maxi adult plus δωρο|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,flatazor-prestige-maxi-adult-dog-dry-gr-spreadsheet,Flatazor Prestige Maxi Adult + Δώρο,unknown,,,,,,flatazor-prestige-maxi-adult-dog-dry-gr-spreadsheet|flatazor-prestige-maxi-adult-δωρο-dog-dry-gr-spreadsheet
flatazor|prestige maxi junior|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,flatazor-prestige-maxi-junior-dog-dry-gr-spreadsheet,Flatazor Prestige Maxi Junior,unknown,,,,,,flatazor-prestige-maxi-junior-dog-dry-gr-spreadsheet
flatazor|prestige mini adult sterile and light|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,flatazor-prestige-mini-adult-sterile-light-dog-dry-gr-spreadsheet,Flatazor Prestige Mini Adult Sterile & Light,unknown,,,,,,flatazor-prestige-mini-adult-sterile-light-dog-dry-gr-spreadsheet
frolic|adult dog beef|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,frolic-frolic-adult-dog-με-μοσχαρι-dog-dry-gr-spreadsheet,Frolic Adult Dog με Μοσχάρι,unknown,,,,,,frolic-frolic-adult-dog-με-μοσχαρι-dog-dry-gr-spreadsheet|frolic-frolic-adult-dog-beef-dog-dry-gr-spreadsheet
gemon|adult light all breed chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-adult-light-all-breed-chicken-dog-dry-gr-spreadsheet,Gemon Adult Light All Breed με Κοτόπουλο,unknown,,,,,,gemon-gemon-adult-light-all-breed-chicken-dog-dry-gr-spreadsheet|gemon-gemon-adult-light-all-breed-με-κοτοπουλο-dog-dry-gr-spreadsheet
gemon|adult medium chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-adult-medium-chicken-dog-dry-gr-spreadsheet,Gemon Adult Medium με Κοτόπουλο,unknown,,,,,,gemon-gemon-adult-medium-chicken-dog-dry-gr-spreadsheet|gemon-gemon-adult-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet
gemon|adult mini chicken and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-adult-mini-chicken-rice-dog-dry-gr-spreadsheet,Gemon Adult Mini με Κοτόπουλο & Ρύζι,unknown,,,,,,gemon-gemon-adult-mini-chicken-rice-dog-dry-gr-spreadsheet|gemon-gemon-adult-mini-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet
gemon|adult mini salmon and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-adult-mini-salmon-rice-dog-dry-gr-spreadsheet,Gemon Adult Mini με Σολομό & Ρύζι,unknown,,,,,,gemon-gemon-adult-mini-salmon-rice-dog-dry-gr-spreadsheet|gemon-gemon-adult-mini-με-σολομο-ρυζι-dog-dry-gr-spreadsheet
gemon|energy adult all breeds chicken and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-energy-adult-all-breeds-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet,Gemon Energy Adult All Breeds με Κοτόπουλο & Ρύζι,unknown,,,,,,gemon-gemon-energy-adult-all-breeds-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet|gemon-gemon-energy-adult-all-breeds-chicken-rice-dog-dry-gr-spreadsheet
gemon|kitten chicken|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet,Gemon Kitten με Κοτόπουλο,retailer|unknown,,,,,,gemon-gemon-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet
gemon|kitten chicken and rice|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-kitten-με-κοτοπουλο-ρυζι-cat-dry-gr-spreadsheet,Gemon Kitten με Κοτόπουλο & Ρύζι,unknown,,,,,,gemon-gemon-kitten-με-κοτοπουλο-ρυζι-cat-dry-gr-spreadsheet|gemon-gemon-kitten-chicken-rice-cat-dry-gr-document
gemon|light adult chicken and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-light-adult-chicken-rice-dog-dry-gr-spreadsheet,Gemon Light Adult με Κοτόπουλο & Ρύζι,unknown,,,,,,gemon-gemon-light-adult-chicken-rice-dog-dry-gr-spreadsheet|gemon-gemon-light-adult-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet
gemon|puppy and junior chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-puppy-junior-chicken-dog-dry-gr-spreadsheet,Gemon Puppy & Junior με Κοτόπουλο,unknown,,,,,,gemon-gemon-puppy-junior-chicken-dog-dry-gr-spreadsheet|gemon-gemon-puppy-junior-με-κοτοπουλο-dog-dry-gr-spreadsheet
gemon|puppy medium chicken and rice|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gemon-gemon-puppy-medium-chicken-rice-dog-dry-gr-spreadsheet,Gemon Puppy Medium με Κοτόπουλο & Ρύζι,unknown,,,,,,gemon-gemon-puppy-medium-chicken-rice-dog-dry-gr-spreadsheet|gemon-gemon-puppy-medium-με-κοτοπουλο-ρυζι-dog-dry-gr-spreadsheet
gheda|properform lupoid active adult type 2 lamb|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-lupoid-active-adult-type-2-με-αρνι-dog-dry-gr-ods,Gheda ProperForm Lupoid Active Adult Type 2 με Αρνί,unknown,,,,,,gheda-properform-lupoid-active-adult-type-2-με-αρνι-dog-dry-gr-ods|gheda-properform-lupoid-active-adult-type-2-lamb-dog-dry-gr-spreadsheet
gheda|properform lupoid active adult type 2 chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-lupoid-active-adult-type-2-με-κοτοπουλο-dog-dry-gr-ods,Gheda ProperForm Lupoid Active Adult Type 2 με Κοτόπουλο,unknown,,,,,,gheda-properform-lupoid-active-adult-type-2-με-κοτοπουλο-dog-dry-gr-ods|gheda-properform-lupoid-active-adult-type-2-chicken-dog-dry-gr-spreadsheet
gheda|properform lupoid nordic and oriental active adult type 2 ελαφι|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-lupoid-nordic-oriental-active-adult-type-2-dog-dry-gr-spreadsheet,Gheda ProperForm Lupoid Nordic & Oriental Active Adult Type 2 με Ελάφι,unknown,,,,,,gheda-properform-lupoid-nordic-oriental-active-adult-type-2-dog-dry-gr-spreadsheet|gheda-properform-lupoid-nordic-oriental-active-adult-type-2-με-ελαφι-dog-dry-gr-ods
gheda|properform lupoid nordic and oriental active puppy type 1 duck|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-lupoid-nordic-oriental-active-puppy-type-1-duck-dog-dry-gr-spreadsheet,Gheda ProperForm Lupoid Nordic & Oriental Active Puppy Type 1 με Πάπια,unknown,,,,,,gheda-properform-lupoid-nordic-oriental-active-puppy-type-1-duck-dog-dry-gr-spreadsheet|gheda-properform-lupoid-nordic-oriental-active-puppy-type-1-με-παπια-dog-dry-gr-ods
gheda|properform lupoid puppy type 1 salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-lupoid-puppy-type-1-με-σολομο-dog-dry-gr-ods,Gheda ProperForm Lupoid Puppy Type 1 με Σολομό,unknown,,,,,,gheda-properform-lupoid-puppy-type-1-με-σολομο-dog-dry-gr-ods|gheda-properform-lupoid-puppy-type-1-salmon-dog-dry-gr-spreadsheet
gheda|properform molossoid active adult type 2 chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-molossoid-active-adult-type-2-με-κοτοπουλο-dog-dry-gr-ods,Gheda ProperForm Molossoid Active Adult Type 2 με Κοτόπουλο,unknown,,,,,,gheda-properform-molossoid-active-adult-type-2-με-κοτοπουλο-dog-dry-gr-ods|gheda-properform-molossoid-active-adult-type-2-chicken-dog-dry-gr-spreadsheet
gheda|properform molossoid puppy type 1 duck|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-molossoid-puppy-type-1-με-παπια-dog-dry-gr-ods,Gheda ProperForm Molossoid Puppy Type 1 με Πάπια,unknown,,,,,,gheda-properform-molossoid-puppy-type-1-με-παπια-dog-dry-gr-ods|gheda-properform-molossoid-puppy-type-1-duck-dog-dry-gr-spreadsheet
gheda|properform toys active adult type 2 lamb|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-toys-active-adult-type-2-με-αρνι-dog-dry-gr-ods,Gheda ProperForm Toys Active Adult Type 2 με Αρνί,unknown,,,,,,gheda-properform-toys-active-adult-type-2-με-αρνι-dog-dry-gr-ods|gheda-properform-toys-active-adult-type-2-lamb-dog-dry-gr-spreadsheet
gheda|properform toys puppy type 1 salmon|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,gheda-properform-toys-puppy-type-1-με-σολομο-dog-dry-gr-ods,Gheda ProperForm Toys Puppy Type 1 με Σολομό,unknown,,,,,,gheda-properform-toys-puppy-type-1-με-σολομο-dog-dry-gr-ods|gheda-properform-toys-puppy-type-1-salmon-dog-dry-gr-spreadsheet
hill s|sp adult large breed chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-adult-large-breed-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Adult Large Breed με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-adult-large-breed-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-adult-large-breed-chicken-dog-dry-gr-spreadsheet
hill s|sp adult light small and mini chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-adult-light-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Adult Light Small & Mini με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-adult-light-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-adult-light-small-mini-chicken-dog-dry-gr-spreadsheet
hill s|sp adult medium chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-adult-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Adult Medium με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-adult-medium-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-adult-medium-chicken-dog-dry-gr-spreadsheet
hill s|sp adult perfect weight small and mini chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-adult-perfect-weight-small-mini-chicken-dog-dry-gr-spreadsheet,Hill's SP Adult Perfect Weight Small & Mini με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-adult-perfect-weight-small-mini-chicken-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-adult-perfect-weight-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet
hill s|sp adult small and mini chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-adult-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Adult Small & Mini με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-adult-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-adult-small-mini-chicken-dog-dry-gr-spreadsheet
hill s|sp kitten chicken|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet,Hill's SP Kitten με Κοτόπουλο,retailer|unknown,,,,,,hill-s-hill-s-sp-kitten-με-κοτοπουλο-cat-dry-gr-spreadsheet
hill s|sp mature large chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-mature-large-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Mature Large με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-mature-large-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-mature-large-chicken-dog-dry-gr-spreadsheet
hill s|sp mature large breed chicken plus δωρο|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-mature-large-breed-με-κοτοπουλο-δωρο-dog-dry-gr-spreadsheet,Hill's SP Mature Large Breed με Κοτόπουλο + Δώρο,unknown,,,,,,hill-s-hill-s-sp-mature-large-breed-με-κοτοπουλο-δωρο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-mature-large-breed-chicken-dog-dry-gr-spreadsheet
hill s|sp mature small and mini chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-mature-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's SP Mature Small & Mini με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-mature-small-mini-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-mature-small-mini-chicken-dog-dry-gr-spreadsheet
hill s|sp small and mini adult sensitive skin chicken|dog|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,hill-s-hill-s-sp-small-mini-adult-sensitive-skin-με-κοτοπουλο-dog-dry-gr-spreadsheet,Hill's Sp Small & Mini Adult Sensitive Skin με Κοτόπουλο,unknown,,,,,,hill-s-hill-s-sp-small-mini-adult-sensitive-skin-με-κοτοπουλο-dog-dry-gr-spreadsheet|hill-s-hill-s-sp-small-mini-adult-sensitive-skin-chicken-dog-dry-gr-spreadsheet
josera|catelux duck and poultry|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,josera-josera-catelux-duck-poultry-cat-dry-gr-document,Josera Catelux Duck & Poultry,unknown,,,,,,josera-josera-catelux-duck-poultry-cat-dry-gr-document|josera-josera-catelux-duck-and-poultry-cat-dry
josera|culinese poultry|cat|dry,2,0,2,hold,no_importable_candidate,Do not merge or import until blockers are resolved.,josera-josera-culinese-poultry-cat-dry-gr-document,Josera Culinese Poultry,unknown,,,,,,josera-josera-culinese-poultry-cat-dry-gr-document|josera-josera-culinese-poultry-cat-dry
