canonical_identity_key,row_count,candidate_count,hold_count,risk_level,risk_reason,recommended_action,best_formula_key,best_display_name,source_priorities,kcal_range,protein_range,fat_range,fiber_range,ash_range,formula_keys
royal canin|maxi adult 5 plus|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-maxi-adult-5-dog-dry-gr-gatoskilo,Royal Canin Maxi Adult 5+ 15kg,retailer|official,,,,,,royal-canin-maxi-adult-5-dog-dry-gr-gatoskilo|royal-canin-maxi-adult-5-dog-dry-gr-official
royal canin|maxi dermacomfort|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-maxi-dermacomfort-dog-dry-gr-official,Royal Canin Maxi Dermacomfort,official|retailer,,,,,,royal-canin-maxi-dermacomfort-dog-dry-gr-official|royal-canin-maxi-dermacomfort-dog-dry-gr-gatoskilo
royal canin|maxi digestive care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-maxi-digestive-care-dog-dry-gr-official,Royal Canin Maxi Digestive Care,official|retailer,,,,,,royal-canin-maxi-digestive-care-dog-dry-gr-official|royal-canin-maxi-digestive-care-dog-dry-gr-gatoskilo
royal canin|maxi joint care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-maxi-joint-care-dog-dry-gr-official,Royal Canin Maxi Joint Care,official|retailer,,,,,,royal-canin-maxi-joint-care-dog-dry-gr-official|royal-canin-maxi-joint-care-dog-dry-gr-gatoskilo
royal canin|maxi light weight care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-maxi-light-weight-care-dog-dry-gr-official,Royal Canin Maxi light Weight Care,official|retailer,,,,,,royal-canin-maxi-light-weight-care-dog-dry-gr-official|royal-canin-maxi-light-weight-care-dog-dry-gr-gatoskilo
royal canin|medium adult 7 plus|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-medium-adult-7-dog-dry-gr-gatoskilo,Royal Canin Medium Adult 7+ 4kg,retailer|official,,,,,,royal-canin-medium-adult-7-dog-dry-gr-gatoskilo|royal-canin-medium-adult-7-dog-dry-gr-official
royal canin|medium ageing 10 plus|dog|dry,2,1,1,low,official_and_lower_priority_sources_overlap,Prefer official source for survivor; keep retailer/photo rows only as evidence/backfill after a quick spot-check.,royal-canin-medium-ageing-10-dog-dry-gr-gatoskilo,Royal Canin Medium Ageing 10+ 3kg,retailer|official,,,,,,royal-canin-medium-ageing-10-dog-dry-gr-gatoskilo|royal-canin-medium-ageing-10-dog-dry-gr-official
royal canin|medium dermacomfort|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-medium-dermacomfort-dog-dry-gr-official,Royal Canin Medium Dermacomfort,official|retailer,,,,,,royal-canin-medium-dermacomfort-dog-dry-gr-official|royal-canin-medium-dermacomfort-dog-dry-gr-gatoskilo
royal canin|medium digestive care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-medium-digestive-care-dog-dry-gr-official,Royal Canin Medium Digestive Care,official|retailer,,,,,,royal-canin-medium-digestive-care-dog-dry-gr-official|royal-canin-medium-digestive-care-dog-dry-gr-gatoskilo
royal canin|medium light weight care|dog|dry,2,2,0,low,official_survivor_with_lower_priority_backfill,Use the official row as survivor; keep retailer/photo rows only for missing nutrient backfill or evidence after a quick spot-check.,royal-canin-medium-light-weight-care-dog-dry-gr-official,Royal Canin Medium Light Weight Care,official|retailer,,,,,,royal-canin-medium-light-weight-care-dog-dry-gr-official|royal-canin-medium-light-weight-care-dog-dry-gr-gatoskilo
