formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
purina-pro-plan-veterinary-diets-canine-ha-hypoallergenic-dog-dry-eu-retailer,Purina Pro Plan Veterinary Diets,Canine HA Hypoallergenic,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/purina_vet_diet/583018?activeVariant=583018.8,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=50.5
eukanuba-premium-nutrition-adult-large-giant-breed-chicken-dog-dry-eu-retailer,Eukanuba,Premium Nutrition Adult Large & Giant Breed Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_adult_large/2384912?activeVariant=2384912.2,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=44.4
hill-s-prescription-diet-canine-c-d-multicare-urinary-care-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,Canine c/d Multicare Urinary Care - Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/urinary/344103?activeVariant=344103.3,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=48.5
hill-s-prescription-diet-w-d-diabetes-care-chicken-dog-dry-eu-retailer,Hill's Prescription Diet,w/d Diabetes Care - Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_prescription/diabetes/408219?activeVariant=408219.6,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.4
wolf-of-wilderness-adult-sensitive-rocky-canyons-beef-dog-dry-eu-retailer,Wolf of Wilderness,"Adult Sensitive ""Rocky Canyons"" - Beef",dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/wow_elements_dry_dog_food/761990?activeVariant=761990.3,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=35.8
hill-s-science-plan-adult-1-5-large-with-chicken-dog-dry-eu-retailer,Hill's Science Plan,Adult 1-5 Large with Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/hills_adult_large/128116,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=48.6
royal-canin-veterinary-diet-royal-canin-veterinary-canine-hypoallergenic-small-dog-dog-dry-eu-retailer,Royal Canin Veterinary Diet,Royal Canin Veterinary Canine Hypoallergenic Small Dog,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_vet_diet/567854?activeVariant=567854.3,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=40.7
eukanuba-premium-nutrition-adult-medium-breed-chicken-dog-dry-eu-retailer,Eukanuba,Premium Nutrition Adult Medium Breed Chicken,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/adult/2393421,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=39.1
burns-adult-senior-sensitive-duck-potato-dog-dry-eu-retailer,Burns,Adult & Senior Sensitive Duck & Potato,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/burns/burns_adult/2277054,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent|calcium_percent|phosphorus_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=54
royal-canin-breed-royal-canin-labrador-retriever-adult-dog-dry-eu-retailer,Royal Canin Breed,Royal Canin Labrador Retriever Adult,dog,candidate,https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/labrador_retriever/128303?activeVariant=128303.10,ingredient_text|kcal_per_100g|kcal_per_kg|protein_percent|fat_percent|fiber_percent|ash_percent,,market=EU; locale=en; basis=as-fed; source_tier=retailer; source_kind=category_product_page; category_batch=true; human_qa_required_before_recommendation=true; retailer_source_accepted_for_gap_fill=true; kcal_estimated=true; kcal_estimation_method=modified_atwater; estimated_carbohydrate_percent=36.9
