canonical_identity_key,rank,score,decision,dataset_file,formula_key,brand,display_name,species,format,source_priority,title_source_priority,missing_blockers,filled_core_fields,filled_mineral_fields,has_kcal,has_source
royal canin|labrador sterilised adult|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-labrador-sterilised-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Labrador Sterilised Adult 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maltese adult|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maltese-adult-dog-dry-gr-official,Royal Canin,Royal Canin Maltese Adult,dog,dry,official,40,,4,0,yes,yes
royal canin|maltese adult|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maltese-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maltese Adult 1.5kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi adult|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-adult-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Adult 3kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi adult|dog|dry,2,52.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-adult-dog-dry-gr-official,Royal Canin,Royal Canin MAXI ADULT,dog,dry,official,40,protein_percent,4,0,yes,yes
royal canin|maxi adult|dog|dry,3,14.5,hold,data/imports/royal_canin_dog_photo_batch_v2.csv,royal-canin-maxi-adult-dog-dry-gr-photo,Royal Canin,Royal Canin Maxi Adult,dog,dry,manual_photo,5,ingredient_text|protein_percent|fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg,0,0,no,yes
royal canin|maxi adult 5 plus|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-adult-5-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Adult 5+ 15kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi adult 5 plus|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-adult-5-dog-dry-gr-official,Royal Canin,Royal Canin MAXI ADULT 5+,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|maxi ageing 8 plus|dog|dry,1,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-ageing-8-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Ageing 8+ 15kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi ageing 8 plus|dog|dry,2,48.0,hold,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-ageing-8-dog-dry-gr-official,Royal Canin,Royal Canin MAXI AGEING 8+,dog,dry,official,40,fat_percent|fiber_percent,3,0,yes,yes
royal canin|maxi ageing 8 plus|dog|dry,3,18.0,hold,data/imports/dog_dry_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Maxi Ageing 8+,dog,dry,unknown,0,fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_manual_photo,3,2,no,no
royal canin|maxi ageing 8 plus|dog|dry,4,18.0,hold,data/imports/mixed_eshop_spreadsheet_extract_v2.csv,royal-canin-royal-canin-maxi-ageing-8-dog-dry-gr-spreadsheet,Royal Canin,Royal Canin Maxi Ageing 8+,dog,dry,unknown,0,fat_percent|fiber_percent|kcal_per_100g_or_kcal_per_kg|data_source_url_or_manual_photo,3,2,no,no
royal canin|maxi dermacomfort|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-dermacomfort-dog-dry-gr-official,Royal Canin,Royal Canin Maxi Dermacomfort,dog,dry,official,40,,4,0,yes,yes
royal canin|maxi dermacomfort|dog|dry,2,80.0,candidate,data/imports/gatoskilo_royal_canin_dog_html_batch_v2.csv,royal-canin-maxi-dermacomfort-dog-dry-gr-gatoskilo,Royal Canin,Royal Canin Maxi Dermacomfort 12kg,dog,dry,retailer,60,,5,0,yes,yes
royal canin|maxi digestive care|dog|dry,1,82.0,candidate,data/imports/royal_canin_gr_product_extract_v2.csv,royal-canin-maxi-digestive-care-dog-dry-gr-official,Royal Canin,Royal Canin Maxi Digestive Care,dog,dry,official,40,,4,0,yes,yes
