formula_key,brand,formula_name,species,status,source_url,extracted_fields,missing_fields,notes
trovet-κλινικη-διαιτα-σκυλου-trovet-intestinal-dog-ημ-ληξης-05-26-dog-dry-gr-retailer,Trovet,Κλινική Δίαιτα Σκύλου Trovet Intestinal Dog (Ημ.Λήξης 05/26),dog,needs_backfill,https://www.petshop88.gr/kliniki-diaita-skuloy-trovet-intestinal-dog-3kg-im-lixis-05-26,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
farmina-n-d-dog-brown-lamb-spirulina-αdult-medium-maxi-με-αρνι-ημ-ληξης-7-2026-dog-dry-gr-retailer,Farmina,N&D Dog Brown Lamb & Spirulina Αdult Medium & Maxi με Αρνί (Ημ Λήξης 7/2026),dog,needs_backfill,https://www.petshop88.gr/nandd-dog-brown-lamb-and-spirulina-adult-medium-and-maxi-me-arni-7kg-im-lixis-7-2026,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent|kcal_per_100g,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
farmina-n-d-prime-chicken-pomegranate-puppy-medium-maxi-ημ-ληξης-09-06-26-dog-dry-gr-retailer,Farmina,N&D Prime Chicken & Pomegranate Puppy Medium & Maxi (Ημ.Λήξης 09/06/26),dog,needs_backfill,https://www.petshop88.gr/nandd-prime-chicken-and-pomegranate-puppy-medium-and-maxi-12kg-im-lixis-09-06-26,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent|kcal_per_100g,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
farmina-n-d-prime-wild-boar-apple-adult-medium-maxi-ημ-ληξης-6-2026-dog-dry-gr-retailer,Farmina,N&D Prime Wild Boar & Apple Adult Medium & Maxi (ΗΜ. ΛΗΞΗΣ 6/2026),dog,needs_backfill,https://www.petshop88.gr/nandd-prime-wild-boar-and-apple-adult-medium-and-maxi-2-5kg-29615,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent|kcal_per_100g,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
naturea-ethos-atlantica-north-atlantic-salmon-ημ-ληξης-7-26-dog-dry-gr-retailer,Naturea,Ethos Atlantica North Atlantic Salmon (Ημ Λήξης 7/26),dog,needs_backfill,https://www.petshop88.gr/naturea-ethos-atlantica-north-atlantic-salmon-10kg-im-lixis-7-26,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
primal-instinct-primal-instinct-fit-senior-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Fit & Senior,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-fit-and-senior-12kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
primal-instinct-primal-instinct-fit-senior-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Fit & Senior,dog,duplicate_pack_variant,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-fit-and-senior-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
primal-instinct-primal-instinct-healthy-shiny-coat-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Healthy & Shiny Coat,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-healthy-and-shiny-coat-5kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
primal-instinct-primal-instinct-skin-sensitive-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Skin Sensitive,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-skin-sensitive-12kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
primal-instinct-primal-instinct-skin-sensitive-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Skin Sensitive,dog,duplicate_pack_variant,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-skin-sensitive-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
primal-instinct-primal-instinct-solid-growth-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Solid Growth,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-solid-growth-12kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
primal-instinct-primal-instinct-solid-growth-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Solid Growth,dog,duplicate_pack_variant,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-solid-growth-2kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,,Skipped from import CSV because Food V2 is formula-level; keep pack-size evidence in source registry.
primal-instinct-primal-instinct-strength-endurance-dog-dry-gr-retailer,Primal Instinct,Primal Instinct Strength & Endurance,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-primal-instinct-strength-and-endurance-12kg,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-με-αρνι-δωρο-dog-dry-gr-retailer,Wellmax,Wellmax Adult με Αρνί ( + Δώρο),dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-12kg-me-arni,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-με-κοτοπουλο-δωρο-dog-dry-gr-retailer,Wellmax,Wellmax Adult με Κοτόπουλο ( + Δώρο),dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-12kg-me-kotopoylo,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-με-αρνι-dog-dry-gr-retailer,Wellmax,Wellmax Adult με Αρνί,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-2kg-me-arni,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-με-κοτοπουλο-dog-dry-gr-retailer,Wellmax,Wellmax Adult με Κοτόπουλο,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-2kg-me-kotopoylo,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-large-breed-με-κοτοπουλο-adult-medium-δωρο-dog-dry-gr-retailer,Wellmax,Wellmax Adult Large Breed με Κοτόπουλο ( + Adult Medium Δώρο),dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-large-breed-12kg-me-kotopoylo,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
wellmax-wellmax-adult-low-grain-με-μοσχαρι-dog-dry-gr-retailer,Wellmax,Wellmax Adult Low Grain με Μοσχάρι,dog,needs_backfill,https://www.petshop88.gr/xira-trofi-skuloy-wellmax-adult-low-grain-12kg-me-moschari,brand|formula_name|display_name|species|format|life_stage|dog_size|commercial_tags|ingredient_text|primary_animal_proteins|carbohydrate_sources|fat_sources|fiber_sources|kcal_per_100g|kcal_per_kg|data_quality_status|data_source_url|source_priority|formula_key|is_recommendable,protein_percent|fat_percent|fiber_percent,market=GR; basis=as-fed; source_tier=retailer; source_group=petshop88; retailer_sources_accepted_for_needs_review=true; human_qa_required_before_recommendation=true
