priority,issue_type,brand,name,species,market,data_quality_status,field,current_value,recommended_action,data_source_url
medium,missing_optional_mineral,Ambrosia,Fresh Turkey & Salmon,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/
medium,partial_row,Ambrosia,Fresh Turkey & Salmon,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-turkey-salmon/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey/
medium,missing_optional_mineral,Ambrosia,Fresh Turkey,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-turkey/
medium,partial_row,Ambrosia,Fresh Turkey,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-turkey/
medium,missing_optional_mineral,Ambrosia,Fresh Venison & Lamb,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-venison-lamb/
medium,missing_optional_mineral,Ambrosia,Fresh Venison & Lamb,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/fresh-venison-lamb/
medium,partial_row,Ambrosia,Fresh Venison & Lamb,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/fresh-venison-lamb/
medium,missing_optional_mineral,Ambrosia,Lamb & Fresh Salmon,dog,GR,partial,sodium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/
medium,missing_optional_mineral,Ambrosia,Lamb & Fresh Salmon,dog,GR,partial,magnesium_percent,,Backfill from official analytical sheet or label photo.,https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/
medium,partial_row,Ambrosia,Lamb & Fresh Salmon,dog,GR,partial,data_quality_status,partial,Review missing fields and promote to verified only when sodium and magnesium are present.,https://ambrosiapetfood.com/el/products/lamb-fresh-salmon/
medium,missing_photo_queue,Farmina,N&D Ancestral Grain Chicken & Pomegranate Puppy Mini,dog,MT,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official page lacks sodium and magnesium percentages; backfill from label photo or stronger official sheet.,https://www.farmina.com/mt/eshop/dog-food/n%26d-ancestral-grain-dog/106-chicken-%26-pomegranate-puppy-mini.html
medium,missing_photo_queue,Farmina,N&D Pumpkin Chicken and Pomegranate Adult Mini,dog,MT,queued,missing_fields,"[""sodium_percent"",""magnesium_percent""]",Official page lacks sodium and magnesium percentages; backfill from label photo or stronger official sheet.,https://www.farmina.com/mt/eshop/dog-food/n%26d-pumpkin-dog/390-chicken-and-pomegranate-adult-mini.html
